player_name,player_id,player,prof_link,img_link
RINKU SINGH,3830,rinku-singh,https://www.iplt20.com/players/rinku-singh/3830,https://documents.iplt20.com/ipl/IPLHeadshot2026/152.png
ANGKRISH RAGHUVANSHI,20690,angkrish-raghuvanshi,https://www.iplt20.com/players/angkrish-raghuvanshi/20690,https://documents.iplt20.com/ipl/IPLHeadshot2026/787.png
MANISH PANDEY,123,manish-pandey,https://www.iplt20.com/players/manish-pandey/123,https://documents.iplt20.com/ipl/IPLHeadshot2026/16.png
FINN ALLEN,3020,finn-allen,https://www.iplt20.com/players/finn-allen/3020,https://documents.iplt20.com/ipl/IPLHeadshot2026/595.png
TEJASVI SINGH,23013,tejasvi-singh,https://www.iplt20.com/players/tejasvi-singh/23013,https://documents.iplt20.com/ipl/IPLHeadshot2026/4281.png
RAHUL TRIPATHI,3838,rahul-tripathi,https://www.iplt20.com/players/rahul-tripathi/3838,https://documents.iplt20.com/ipl/IPLHeadshot2026/188.png
TIM SEIFERT,1619,tim-seifert,https://www.iplt20.com/players/tim-seifert/1619,https://documents.iplt20.com/ipl/IPLHeadshot2026/82.png
ROVMAN POWELL,3333,rovman-powell,https://www.iplt20.com/players/rovman-powell/3333,https://documents.iplt20.com/ipl/IPLHeadshot2026/329.png
ANUKUL ROY,3774,anukul-roy,https://www.iplt20.com/players/anukul-roy/3774,https://documents.iplt20.com/ipl/IPLHeadshot2026/160.png
SARTHAK RANJAN,23154,sarthak-ranjan,https://www.iplt20.com/players/sarthak-ranjan/23154,https://documents.iplt20.com/ipl/IPLHeadshot2026/4203.png
DAKSH KAMRA,23177,daksh-kamra,https://www.iplt20.com/players/daksh-kamra/23177,https://documents.iplt20.com/ipl/IPLHeadshot2026/4548.png
RAMANDEEP SINGH,20595,ramandeep-singh,https://www.iplt20.com/players/ramandeep-singh/20595,https://documents.iplt20.com/ipl/IPLHeadshot2026/991.png
Luvnith Sisodia,20613,luvnith-sisodia,https://www.iplt20.com/players/luvnith-sisodia/20613,https://documents.iplt20.com/ipl/assets/images/Default-Men.png
Cameron Green,5602 ,cameron-green,https://www.iplt20.com/players/cameron-green/5602,https://documents.iplt20.com/ipl/IPLHeadshot2026/550.png
Rachin Ravindra,20684,rachin-ravindra,https://www.iplt20.com/players/rachin-ravindra/20684,https://documents.iplt20.com/ipl/IPLHeadshot2026/724.png
Blessing Muzarabani,22387,blessing-muzarabani,https://www.iplt20.com/players/blessing-muzarabani/22387,https://documents.iplt20.com/ipl/IPLHeadshot2026/827.png
SUNIL NARINE,203,sunil-narine,https://www.iplt20.com/players/sunil-narine/203,https://documents.iplt20.com/ipl/IPLHeadshot2026/156.png
VAIBHAV ARORA,14859,vaibhav-arora,https://www.iplt20.com/players/vaibhav-arora/14859,https://documents.iplt20.com/ipl/IPLHeadshot2026/583.png
KARTIK TYAGI,10059,kartik-tyagi,https://www.iplt20.com/players/kartik-tyagi/10059,https://documents.iplt20.com/ipl/IPLHeadshot2026/536.png
PRASHANT SOLANKI,20576,prashant-solanki,https://www.iplt20.com/players/prashant-solanki/20576,https://documents.iplt20.com/ipl/IPLHeadshot2026/972.png
SAURABH DUBEY,20612,saurabh-dubey,https://www.iplt20.com/players/saurabh-dubey/20612,https://documents.iplt20.com/ipl/IPLHeadshot2026/1010.png
NAVDEEP SAINI,3824,navdeep-saini,https://www.iplt20.com/players/navdeep-saini/3824,https://documents.iplt20.com/ipl/IPLHeadshot2026/207.png
UMRAN MALIK,15154,umran-malik,https://www.iplt20.com/players/umran-malik/15154,https://documents.iplt20.com/ipl/IPLHeadshot2026/637.png
VARUN CHAKARAVARTHY,5432,varun-chakaravarthy,https://www.iplt20.com/players/varun-chakaravarthy/5432,https://documents.iplt20.com/ipl/IPLHeadshot2026/140.png
RUTURAJ GAIKWAD,5443,ruturaj-gaikwad,https://www.iplt20.com/players/ruturaj-gaikwad/5443,https://documents.iplt20.com/ipl/IPLHeadshot2026/102.png
MS DHONI,1,ms-dhoni,https://www.iplt20.com/players/ms-dhoni/1,https://documents.iplt20.com/ipl/IPLHeadshot2026/57.png
DEWALD BREVIS,20593,dewald-brevis,https://www.iplt20.com/players/dewald-brevis/20593,https://documents.iplt20.com/ipl/IPLHeadshot2026/797.png
